k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
5.109214982943389603e-04,7.534604015548428298e-04,6.468173456729316728e-08,6.464814471670388253e-08,6.464814463516854397e-08
5.156513725569646621e-04,7.604355884927954624e-04,6.707572989952542612e-08,6.704057530844874654e-08,6.704057522321988110e-08
5.204250338017679493e-04,7.674753484762836296e-04,6.955812259507837719e-08,6.952133048453427565e-08,6.952133039556546858e-08
5.252428873883222037e-04,7.745802792926149418e-04,7.213216625173219018e-08,7.209366046436071440e-08,7.209366037128901209e-08
5.301053424288303074e-04,7.817509842631326956e-04,7.480123373380366810e-08,7.476093457742234925e-08,7.476093447980021390e-08
5.350128118228657335e-04,7.889880722944487635e-04,7.756882152252714461e-08,7.752664560646498840e-08,7.752664550404404082e-08
5.399657122924367281e-04,7.962921579301528814e-04,8.043855421104362551e-08,8.039441427492618677e-08,8.039441416786762792e-08
5.449644644173689233e-04,8.036638614029920471e-04,8.341418908579241271e-08,8.336799382047487461e-08,8.336799370871916073e-08
5.500094926710206913e-04,8.111038086875396519e-04,8.649962100542597588e-08,8.645127486563989108e-08,8.645127474873068316e-08
5.551012254563296141e-04,8.186126315533543470e-04,8.969888745562425186e-08,8.964829046395618524e-08,8.964829034133225778e-08
5.602400951421874662e-04,8.261909676186218136e-04,9.301617374471248835e-08,9.296322128653994776e-08,9.296322115789057203e-08
5.654265381001566133e-04,8.338394604043011197e-04,9.645581836980890881e-08,9.640040097878759681e-08,9.640040084431551808e-08
5.706609947415265238e-04,8.415587593887723051e-04,1.000223184759927813e-07,9.996432160972177194e-08,9.996432146935043960e-08
5.759439095547080108e-04,8.493495200629818309e-04,1.037203356875501851e-07,1.036596394928625355e-07,1.036596393460187861e-07
5.812757311429814656e-04,8.572124039861103977e-04,1.075547021481665801e-07,1.074911812155681390e-07,1.074911810615475722e-07
5.866569122625865055e-04,8.651480788417438344e-04,1.115304267238397246e-07,1.114639498306300335e-07,1.114639496690444830e-07
5.920879098611720121e-04,8.731572184945760040e-04,1.156527014083181985e-07,1.155831312498878969e-07,1.155831310809923727e-07
5.975691851165946308e-04,8.812405030476250798e-04,1.199269078366662360e-07,1.198541007455044824e-07,1.198541005692003449e-07
6.031012034760815628e-04,8.893986188999874771e-04,1.243586242476607817e-07,1.242824298993792610e-07,1.242824297149469159e-07
6.086844346957565651e-04,8.976322588051268390e-04,1.289536326941387817e-07,1.288738937999169799e-07,1.288738936064725218e-07
6.143193528805259047e-04,9.059421219296944980e-04,1.337179264460184097e-07,1.336344784308879938e-07,1.336344782279458877e-07
6.200064365243387974e-04,9.143289139129019043e-04,1.386577176299066150e-07,1.385703882962453336e-07,1.385703880841256520e-07
6.257461685508218952e-04,9.227933469264442638e-04,1.437794449722009142e-07,1.436880541478709554e-07,1.436880539264484168e-07
6.315390363542825120e-04,9.313361397349689862e-04,1.490897821205845867e-07,1.489941412908203972e-07,1.489941410591906616e-07
6.373855318410986915e-04,9.399580177571134490e-04,1.545956462592141342e-07,1.544955581815170370e-07,1.544955579385709676e-07
6.432861514714913491e-04,9.486597131271070878e-04,1.603042069403648973e-07,1.601994652416850855e-07,1.601994649868151216e-07
6.492413963016779432e-04,9.574419647569354288e-04,1.662228951955963537e-07,1.661132839510174854e-07,1.661132836846273705e-07
6.552517720264218817e-04,9.663055183990883982e-04,1.723594127604506695e-07,1.722447060526775187e-07,1.722447057746052313e-07
6.613177890219764689e-04,9.752511267098900889e-04,1.787217420055997821e-07,1.786017034641196677e-07,1.786017031732293366e-07
6.674399623894192732e-04,9.842795493134040216e-04,1.853181562156540083e-07,1.851925385346451591e-07,1.851925382295464591e-07
6.736188119983948066e-04,9.933915528659413314e-04,1.921572301209261345e-07,1.920257745550188176e-07,1.920257742349527543e-07
6.798548625312620438e-04,1.002587911121164939e-03,1.992478507574732656e-07,1.991102865943853788e-07,1.991102862598580013e-07
6.861486435276432060e-04,1.011869404995787000e-03,2.065992284405588452e-07,2.064552724497483549e-07,2.064552721005536755e-07
6.925006894293933221e-04,1.021236822635884561e-03,2.142209086174157421e-07,2.140702644733135822e-07,2.140702641080230798e-07
6.989115396259838481e-04,1.030690959483828014e-03,2.221227841308189916e-07,2.219651418094880775e-07,2.219651414263588495e-07
7.053817385003021854e-04,1.040232618345822337e-03,2.303151077727606506e-07,2.301501429208698599e-07,2.301501425189532823e-07
7.119118354748794593e-04,1.049862609460078689e-03,2.388085052182392388e-07,2.386358784931410477e-07,2.386358780730714158e-07
7.185023850585484009e-04,1.059581750565622218e-03,2.476139880403565596e-07,2.474333444202362260e-07,2.474333439817507744e-07
7.251539468935240670e-04,1.069390866971721117e-03,2.567429678650664086e-07,2.565539359273051857e-07,2.565539354686087868e-07
7.318670858029326619e-04,1.079290791627978991e-03,2.662072710095004801e-07,2.660094621758109443e-07,2.660094616947205824e-07
